fips_code,county,state,total_customers,event_count,avg_per_event
1001,Autauga,Alabama,345941.0,9078,38.0
1003,Baldwin,Alabama,755468.0,20441,37.0
1005,Barbour,Alabama,232281.0,5926,39.0
1007,Bibb,Alabama,410204.0,8124,50.0
1009,Blount,Alabama,678909.0,12437,55.0
1011,Bullock,Alabama,119309.0,3132,38.0
1013,Butler,Alabama,287648.0,10270,28.0
1015,Calhoun,Alabama,1258774.0,17384,72.0
1017,Chambers,Alabama,168656.0,5324,32.0
1019,Cherokee,Alabama,2673.0,205,13.0
1021,Chilton,Alabama,493577.0,8796,56.0
1023,Choctaw,Alabama,82613.0,2980,28.0
1025,Clarke,Alabama,138317.0,3737,37.0
1027,Clay,Alabama,131490.0,4402,30.0
1029,Cleburne,Alabama,392488.0,8584,46.0
1031,Coffee,Alabama,262532.0,8624,30.0
1035,Conecuh,Alabama,13461.0,2105,6.0
1037,Coosa,Alabama,279277.0,5274,53.0
1039,Covington,Alabama,63694.0,5189,12.0
1041,Crenshaw,Alabama,136556.0,7016,19.0
1043,Cullman,Alabama,857595.0,8133,105.0
1045,Dale,Alabama,108996.0,5994,18.0
1047,Dallas,Alabama,426187.0,12259,35.0
1051,Elmore,Alabama,598382.0,11042,54.0
1053,Escambia,Alabama,152141.0,5068,30.0
1055,Etowah,Alabama,803422.0,14935,54.0
1057,Fayette,Alabama,282053.0,7366,38.0
1059,Franklin,Alabama,122225.0,3175,38.0
1061,Geneva,Alabama,155707.0,7870,20.0
1063,Greene,Alabama,56480.0,2292,25.0
1065,Hale,Alabama,222655.0,4997,45.0
1067,Henry,Alabama,137890.0,4189,33.0
1069,Houston,Alabama,311649.0,10359,30.0
1071,Jackson,Alabama,29901.0,122,245.0
1073,Jefferson,Alabama,7270237.0,29515,246.0
1075,Lamar,Alabama,335715.0,6770,50.0
1077,Lauderdale,Alabama,718635.0,7603,95.0
1079,Lawrence,Alabama,1417.0,225,6.0
1081,Lee,Alabama,372451.0,12273,30.0
1083,Limestone,Alabama,10995.0,418,26.0
1085,Lowndes,Alabama,172319.0,6946,25.0
1087,Macon,Alabama,95653.0,2891,33.0
1089,Madison,Alabama,1606436.0,12283,131.0
1091,Marengo,Alabama,161971.0,4575,35.0
1093,Marion,Alabama,338576.0,9175,37.0
1095,Marshall,Alabama,11121.0,587,19.0
1097,Mobile,Alabama,2817079.0,26037,108.0
1099,Monroe,Alabama,122682.0,5745,21.0
1101,Montgomery,Alabama,1333149.0,20477,65.0
1103,Morgan,Alabama,168877.0,3450,49.0
1105,Perry,Alabama,175476.0,4528,39.0
1107,Pickens,Alabama,217098.0,5879,37.0
1109,Pike,Alabama,117663.0,7527,16.0
